alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha075,-0.16783598532175734,0.4821819249422335,-0.08244273321852061,0.0010019961110031884,-0.000010593777520175725,-0.002669631935084283,-0.7294337985037159,-0.48594639638762016
alpha076,0.26085194339370227,0.4574904018869287,0.2985120910818746,0.0021146492434926654,0.0000347481868038918,0.008756543074580734,-0.7819993739687565,-0.5385119718526608
alpha077,0.401821634443307,0.6259162516973896,0.37456957179369577,0.0023271920808857157,0.000058906778936121883,0.014844508291902715,-0.46853870006282017,-0.2250512979467244
alpha078,0.1536949707133875,0.6301011458751695,0.10128857954368668,0.0017223826566963914,0.00001667589031460409,0.004202324359280231,-0.46187492347496584,-0.21838752135887007
alpha079,1.207948307304188,0.5908791349756621,0.6603844964516585,0.0012606281081940052,0.00009592571954040404,0.024173281324181818,-0.5261437918383685,-0.2826563897222727
alpha080,-0.2375785175722724,1.0016771449514494,-0.09149784996355904,0.0015923118833445515,-0.00002383060312431586,-0.0060053119873275974,0.0016757401143796175,0.2451631422304754
alpha081,-0.44519796866903943,0.387455340367615,-0.25542389886949346,0.0009244365629484902,-0.00002592567174063279,-0.0065332692786394635,-0.9481546874948229,-0.7046672853787271
alpha082,0.7601174691785153,0.48860529298706706,0.9333975184809932,0.0022495901715896866,0.00010771690072599,0.027144658982949484,-0.7162002872514198,-0.47271288513532406
alpha083,0.6730086152153373,1.4196867195952556,0.5182296753190885,0.0032276737146766927,0.00013683902741205603,0.034483434907838124,0.3504362272696553,0.593923629385751
alpha084,0.7908943579700485,0.8016818545134865,1.1521436036321315,0.0034506590783412905,0.0001719175686773148,0.04332322730668333,-0.22104343995077746,0.0224439621653183
alpha085,-0.17196317370656314,0.6064290632193637,-0.11276854025750477,0.0016703395939377465,-0.000018094223780597205,-0.004559744392710496,-0.5001675183298943,-0.2566801162137985
alpha086,0.5790921510872602,0.7451928074483429,0.3125263352894887,0.001480128949469007,0.00005399418139124873,0.01360653371059468,-0.2941122921419393,-0.05062489002584353
alpha087,0.772039792566362,0.8129693735866445,0.526641235596135,0.0021762444465405575,0.00010583933216842514,0.02667151170644314,-0.2070618410090273,0.03642556110706846
alpha088,-0.9478912055071231,0.5369291250186953,-2.0172958887144485,0.0042729568269231,-0.0002551448039739281,-0.06429649060142988,-0.6218891763892312,-0.3784017742731355
alpha089,-0.22485513623985243,0.7209779935333189,-0.11339645841880319,0.0015356713199212706,-0.00002175208118367387,-0.005481524458285815,-0.32714666430818684,-0.08365926219209108
alpha090,0.7348975068475828,1.113631866492081,0.5692858286107612,0.003090283507874094,0.00014306217644690237,0.0360516684646194,0.1076266259322028,0.35111402804829855
alpha091,-0.12272059820935395,0.7123216458499053,-0.06878293399207198,0.0017048618771789872,-0.000013179726338145601,-0.0033212910372126918,-0.33922571978918414,-0.09573831767308838
