alpha,days,annual_return,annual_volatility,sharpe,max_drawdown,mean_ic,ic_ir,mean_rank_ic,rank_ic_ir,mean_turnover,mean_coverage,mean_return_coverage,paper_turnover,cents_per_share
alpha045,883,-0.011135941382518583,0.022478073639739374,-0.4954135110061727,-0.07340451628728517,-0.0003178849576617437,-0.11725924307609113,0.002138646802980066,0.6512329252949236,0.6222253011201568,0.9992684927156086,0.999997737004995,1.2503272935052239,-0.32631787147912245
alpha046,883,0.032989796338628544,0.038739501771157474,0.8515802947984806,-0.04493861429686841,0.0044072884310934,0.8913558075852467,0.005834481096188888,0.9014384988412435,0.3413698917668342,0.9993937205766029,0.999997737004995,0.6931517512917591,0.8488149268200855
alpha047,883,0.058849376500897756,0.06221297540337271,0.9459341257886117,-0.05586948156517901,0.008836768487945353,1.24159865506328,0.008294016868595799,1.0112391564328165,0.3885839239308916,0.9994250307930429,0.999997737004995,0.7879983018401284,1.2614384242444323
alpha048,883,0.006062943540573677,0.013585426494446473,0.4462829005075492,-0.022200850551627016,-0.001845538913799875,-1.317154151666891,0.0007457406783352353,0.4310983784362863,0.6615753041832763,0.9921550117652395,0.999997729443188,1.3292846735586694,0.07667825956173245
alpha049,883,0.03693918523844039,0.04467178355005574,0.8269019569601291,-0.06269750154573517,0.002419893202758241,0.5923277943485326,0.008699347565072632,1.3179660453381208,0.5923355298347498,0.9993937205766029,0.999997737004995,1.190497605573437,0.6069889617619063
alpha050,883,-0.0013493942933610371,0.022254739789159983,-0.060634018017964475,-0.05147384109645181,0.0008163100983017358,0.3185123907937354,0.0036457029972204185,1.3617478708110393,0.19989684402958655,0.999761762066484,0.999997737004995,0.41337043345421537,-0.048819469215861507
alpha051,883,0.03383270839642461,0.043625044918629174,0.7755340644240128,-0.06112651517333023,0.002012284925119731,0.49525151106953597,0.00816606218363314,1.263245948351337,0.5738559291475682,0.9993937205766029,0.999997737004995,1.153793372548317,0.5652069419271628
alpha052,883,0.033441029005507036,0.05664696020980648,0.5903411035940789,-0.05596493610015074,0.003985677764669113,0.8627865960533527,0.004993824574882213,0.6557049013489177,0.2760810966421869,0.9924979442678538,0.999997729443188,0.5641774886941867,1.2574681759120838
alpha053,883,0.03274597722752794,0.041716210492239954,0.7849700833593057,-0.08930857196711028,0.000056530628152195565,0.020664960225481095,0.010008388042633749,1.6184329758924285,0.8017732429239144,0.9858801206227235,0.9999992389093876,1.6073718361189324,0.30411166866027867
alpha054,883,0.049401697892584744,0.04594046821946518,1.0753416281389363,-0.08076109414957755,0.0046279301496347505,0.8233491937223173,0.011384589722195356,1.7334261032079963,0.7923949079856374,0.9996443911568041,0.9999992449981124,1.5891688116679068,0.4736915338909779
alpha055,883,0.00726045049713516,0.02103667089528218,0.34513305519094456,-0.04444043558412847,0.0014444646457961072,0.5785787381898705,0.003965923822921201,1.5036984499193902,0.378071520644137,0.9995189656074244,0.999997737004995,0.7661824394787176,0.14214268433428856
