alpha,sharpe,turnover,cents_per_share,daily_volatility,daily_return,annual_return,log_turnover,centered_log_turnover
alpha049,0.33846667249935086,1.328558524609667,2.2895392485441923,0.009738351887658214,0.00020763525942259784,0.05232408537449466,0.2840945383973383,0.40844768114897134
alpha050,0.39428865794748574,0.4068127410474787,7.396450732771116,0.009194026884071256,0.00022835986802017947,0.05754668674108523,-0.8994022951224889,-0.7750491523708559
alpha051,0.3468053523933445,1.3131764197949605,2.402024106347856,0.009733293018545239,0.00021264017402338627,0.05358532385389334,0.2724489501902681,0.39680209294190116
alpha052,0.5339749499520533,0.6994664825361917,8.870656571339522,0.010635090162417192,0.00035773529390707324,0.09014929406458246,-0.35743740234172006,-0.23308425959008702
alpha053,0.6377888662378093,1.615019114244597,2.6268882946515304,0.008837440777069315,0.00035506116983854985,0.08947541479931456,0.4793467920501525,0.6036999348017855
alpha054,0.19974888241606042,1.6061399458046632,0.8574712183095793,0.00892284880165256,0.00011227617832937429,0.028293596939002325,0.47383375108348885,0.5981868938351219
alpha055,-1.3501743216752558,0.8191730490799659,-11.658935640628341,0.00904048013041962,-0.0007689198449769408,-0.1937678009341891,-0.1994599243103873,-0.07510678155875428
alpha056,-0.07216290586075252,1.499437619453667,-0.3486446870367727,0.00846391037270792,-0.000038475546617279774,-0.009695837747554503,0.4050901174437307,0.5294432601953637
alpha057,0.2775070763351493,1.4714878356151124,1.6446311838763374,0.009189304134796785,0.00016064100666714171,0.04048153368011972,0.38627402200082483,0.5106271647524578
alpha058,-0.2866096430855217,0.99161580365754,-1.84175313315991,0.008891837254912624,-0.00016053954701809566,-0.04045596584856011,-0.008419541415287104,0.11593360133634593
alpha059,-0.06580692593935385,0.7236838063256154,-0.5390449774996383,0.008423404664972408,-0.00003491877490695335,-0.008799531276552244,-0.3234007135858931,-0.19904757083426008
alpha060,-0.25884418860996544,1.4743413028595762,-1.1526562908346054,0.00924757936132094,-0.00015078780372497277,-0.03799852653869314,0.3882113157152787,0.5125644584669118
alpha061,-0.1704694714907469,0.38945841200521875,-3.3629482154846007,0.008462478636155816,-0.00009087489657942387,-0.022900473938014816,-0.9429981921441764,-0.8186450493925433
alpha062,-0.11004253642744359,0.4766119503299829,-1.52233667804245,0.007933199141459797,-0.00005499316028301635,-0.013858276391320121,-0.7410526405026331,-0.6166994977510001
alpha063,-0.30831792351424336,0.5010073620207303,-4.988612824426045,0.008745521714410434,-0.00016985730315111514,-0.04280404039408102,-0.6911344833530814,-0.5667813406014484
alpha064,-0.6171738555913783,0.5247937088463089,-8.638802718401061,0.008399010211202892,-0.00032653922621281577,-0.08228788500562959,-0.644750029140748,-0.520396886389115
