alpha_i,alpha_j,observations,correlation,turnover_sum,turnover_product,demeaned_correlation,turnover_model_contribution
alpha022,alpha006,864,0.008990707716467369,-0.25273009544418507,-0.01736566228045367,-0.10595275314775059,-0.004639682475672529
alpha022,alpha007,859,-0.026405552067375427,0.11882190930625926,0.003519417867980048,-0.14134901293159338,0.0008491210499190413
alpha022,alpha008,864,0.21606133741853592,-0.16468876078666825,-0.012416825220800811,0.10111787655431796,-0.003339079647838136
alpha022,alpha009,864,0.0007132384895155972,0.5835626071447424,0.029642670060132645,-0.11423022237470236,0.007714567469714472
alpha022,alpha010,864,-0.035030118055601245,0.5779823215816777,0.02932900007653498,-0.14997357891981922,0.007632131927231183
alpha022,alpha011,864,0.04548639042954467,0.39203884512436454,0.018877046220175817,-0.06945707043467328,0.004885256130328533
alpha022,alpha012,864,0.18445873681706443,0.5431518881463284,0.02737116810523248,0.06951527595284647,0.0071175945182183195
alpha022,alpha013,864,0.19439752969527038,-0.05402372215251816,-0.006196301116628354,0.07945406883105242,-0.0017042650150310072
alpha022,alpha014,864,-0.005774918700632101,0.18056057596749125,0.006989771909921794,-0.12071837956485006,0.0017611640665166736
alpha022,alpha015,864,0.17092744340176289,-0.25900527355742536,-0.017718392439799054,0.05598398253754493,-0.004732383414737041
alpha022,alpha016,864,0.14197628696516412,-0.05206175268295771,-0.00608601806312129,0.027032826100946164,-0.0016752815489106737
alpha022,alpha017,860,0.1136589680981447,0.6612333421023993,0.03400857174829054,-0.0012844927660732586,0.008861969175048334
alpha022,alpha018,864,0.044490171625111624,0.5111941741178332,0.025574812789388772,-0.07045328923910633,0.006645494755098303
alpha022,alpha019,633,0.17129029923722183,-0.25906584008313577,-0.0177217969073503,0.056346838373003874,-0.004733278142138863
alpha022,alpha020,864,0.15633905093935038,0.6430794370343678,0.03298813380823004,0.041395590075132424,0.008593788094427894
alpha022,alpha021,864,0.0596213792836965,0.016602952666578186,-0.002226348740231093,-0.05532208158052146,-0.0006609226651270215
alpha023,alpha001,860,-0.2648385745996686,0.36930348412954245,0.03361756026108442,-0.37978203546388656,0.009143579254032943
